Industry,Company,Opportunity,Candidate,Gender,Age,Race,Institution,Aggregate,Qualification,Progress,Successful,NumCandidates,Discipline_Accounting and Auditing,Discipline_Actuarial Science,Discipline_Business and Management Studies,Discipline_Computer Science,Discipline_Economics,Discipline_Electrical and Electronic Engineering,Discipline_Finance,Discipline_Information Systems,Discipline_Information Technology,Discipline_Investments,Discipline_Law,Discipline_Marketing,Discipline_Mathematics,Discipline_Other,Discipline_Risk Management,Discipline_Statistics
Legal,Client F,14,75,Female,25,Indian,University of KwaZulu-Natal,71,Bachelor of Science (Honours),1,No,2624,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Legal,Client A,1,78,Female,24,Black,University of the Free State,75,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,79,Female,22,Black,University of KwaZulu-Natal,66,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,80,Male,42,Black,The IIE's Varsity College,65,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,81,Male,22,Black,The IIE's Varsity College,79,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,82,Female,25,Black,University of South Africa,70,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,83,Female,26,Coloured,University of South Africa,70,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,82,Female,25,Black,University of South Africa,70,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client J,22,82,Female,22,Black,University of South Africa,70,Bachelor of Laws,1,No,1779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,84,Female,24,Black,University of the Western Cape,69,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,82,Female,24,Black,University of South Africa,70,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,86,Male,26,Black,University of Johannesburg,65,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,87,Female,24,Black,University of the Free State,76,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,88,Male,22,Black,University of the Western Cape,68,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Financial services,Client H,23,89,Male,25,Black,University of the Witwatersrand,71,Master of Science,1,No,1110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Legal,Client J,24,82,Female,24,Black,University of South Africa,70,Bachelor of Laws,2,No,1180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Asset Management,Client N,25,89,Male,25,Black,University of the Witwatersrand,71,Master of Science,1,No,247,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Retail,Client O,26,89,Male,25,Black,University of the Witwatersrand,71,Master of Science,2,No,910,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Financial services,Client H,27,91,Female,19,Black,University of Johannesburg,62,Bachelor of Commerce (Honours),1,No,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Banking (Commercial & Retail),Client C,28,92,Male,26,Black,University of KwaZulu-Natal,70,Bachelor of Science (Honours),1,No,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Legal,Client A,1,94,Male,24,Black,University of the Witwatersrand,60,Bachelor of Laws (Honours),1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,95,Female,26,Black,University of South Africa,66,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client P,29,96,Female,22,Black,University of Cape Town,70,Bachelor of Social Science (Honours),1,No,3394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Legal,Client A,1,97,Female,24,Black,University of South Africa,71,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,98,Female,23,Black,The IIE's Varsity College,65,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,99,Male,24,Black,University of Pretoria,74,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,42,Female,23,Black,University of Johannesburg,72,Bachelor of Laws,2,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client E,20,101,Female,22,Black,University of Cape Town,70,Bachelor of Laws,3,No,1615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,27,Male,28,Black,University of Pretoria,65,Master of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,102,Female,24,Black,University of Pretoria,63,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,27,Male,28,Black,University of Pretoria,65,Master of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,103,Female,24,Coloured,University of Pretoria,61,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,104,Female,27,Black,University of South Africa,88,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,105,Female,34,Black,University of Fort Hare,73,Bachelor of Laws (Honours),1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,106,Male,24,Indian,University of South Africa,75,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,107,Female,24,Black,University of the Free State,72,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,30,108,Female,24,Black,University of South Africa,71,Bachelor of Laws,1,No,2735,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,109,Female,23,Black,University of Johannesburg,67,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,110,Female,22,Black,University of Cape Town,68,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,111,Female,25,Black,University of the Free State,70,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client J,22,112,Male,29,Black,University of the Witwatersrand,70,Bachelor of Laws,5,Yes,1779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Accounting & Finance,Client M,19,113,Female,26,Black,University of South Africa,60,Postgraduate Diploma,1,No,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Client B,2,114,Female,25,Black,University of Johannesburg,70,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client P,31,89,Male,25,Black,University of the Witwatersrand,71,Master of Science,2,No,3361,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Legal,Client F,14,61,Male,27,Black,University of Pretoria,79,Master of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,21,99,Male,23,Black,University of Pretoria,74,Bachelor of Laws,1,No,1938,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,116,Female,24,Black,University of Pretoria,75,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client C,3,117,Female,26,Indian,University of the Witwatersrand,77,Bachelor of Laws,1,No,357,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,102,Female,24,Black,University of Pretoria,63,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client J,13,108,Female,23,Black,University of South Africa,71,Bachelor of Laws,1,No,1679,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,119,Female,22,Black,University of Johannesburg,65,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,121,Female,24,Indian,University of South Africa,76,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,30,123,Female,22,Black,University of the Witwatersrand,73,Bachelor of Arts,1,No,2735,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,124,Female,29,Black,University of Pretoria,65,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,125,Female,23,Black,University of the Western Cape,70,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,127,Female,23,Black,University of the Witwatersrand,63,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,127,Female,23,Black,University of the Witwatersrand,63,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,106,Male,24,Indian,University of South Africa,75,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,128,Female,29,Black,University of the Witwatersrand,70,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,129,Female,24,Black,University of South Africa,67,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,99,Male,23,Black,University of Pretoria,74,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,130,Male,33,Black,University of South Africa,72,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,7,131,Male,23,White,Stellenbosch University,69,Bachelor of Accountancy and Law,3,No,3323,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Legal,Client F,14,132,Male,42,Black,University of South Africa,65,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,133,Female,38,White,University of KwaZulu-Natal,72,Bachelor of Commerce (Honours),1,No,3453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Client B,2,134,Female,27,Black,University of South Africa,90,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,135,Female,23,Indian,University of South Africa,65,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,136,Male,26,Black,North-West University,65,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,130,Male,32,Black,University of South Africa,72,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,138,Male,27,Coloured,University of the Western Cape,68,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,7,140,Female,40,Black,University of Cape Town,100,Master of Laws,1,No,3323,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,141,Male,24,Other,University of Pretoria,72,Bachelor of Commerce,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,143,Male,30,Black,University of South Africa,66,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,145,Male,31,Black,University of South Africa,68,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,147,Female,24,Black,University of the Western Cape,68,Master of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client E,35,148,Male,30,Black,University of South Africa,65,Bachelor of Laws,1,No,3441,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client C,36,149,Male,25,Coloured,Stellenbosch University,71,Bachelor of Commerce (Honours),6,Yes,496,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Legal,Client F,14,148,Male,32,Black,University of South Africa,65,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,150,Female,27,Black,Walter Sisulu University,65,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,151,Female,124,White,University of Pretoria,87,Bachelor of Arts,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client E,37,152,Female,122,Black,University of Pretoria,79,Bachelor of Laws,2,No,3022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,153,Male,33,Black,University of Limpopo,71,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,154,Female,23,Black,Nelson Mandela University,67,Bachelor of Laws (Extended Programme),1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,156,Female,26,Black,University of Johannesburg,66,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,157,Male,24,Black,North-West University,76,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,158,Female,22,Coloured,Eduvos,81,Bachelor of Arts,1,No,3453,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,159,Female,24,Black,Rhodes University,62,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,160,Female,47,Black,University of South Africa,73,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,110,Female,22,Black,University of Cape Town,68,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,162,Female,24,White,University of Pretoria,66,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,163,Female,24,Black,Nelson Mandela University,69,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Accounting & Finance,Client M,38,66,Female,22,Black,University of Pretoria,56,Postgraduate Diploma,1,No,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Client B,2,166,Female,21,Black,Eduvos,85,Bachelor of Commerce,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client C,28,167,Male,24,Black,University of Pretoria,68,Bachelor of Commerce (Honours),1,No,850,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Legal,Client A,1,169,Female,23,Black,University of the Western Cape,63,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,170,Male,21,Black,University of the Western Cape,68,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,173,Female,23,Black,University of Pretoria,65,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,174,Female,24,Black,University of Fort Hare,70,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,175,Female,23,White,University of Johannesburg,71,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,176,Male,23,Black,University of Johannesburg,72,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,177,Male,28,Coloured,University of the Western Cape,70,Master of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,178,Male,33,Black,University of South Africa,66,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,179,Female,24,Black,University of Pretoria,62,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,163,Female,25,Black,Nelson Mandela University,69,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Retail,Client K,15,181,Female,22,White,University of Pretoria,63,Bachelor of Commerce,2,No,656,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Legal,Client B,2,182,Other,24,Other,The IIE's Varsity College,74,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client Q,41,172,Female,24,Black,University of Johannesburg,70,Bachelor of Commerce,1,No,317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banking (Commercial & Retail),Client C,42,172,Female,23,Black,University of Johannesburg,70,Bachelor of Commerce,2,No,595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Client B,2,183,Female,33,Black,University of South Africa,70,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,183,Female,34,Black,University of South Africa,70,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,184,Female,22,Black,University of Fort Hare,80,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,148,Male,31,Black,University of South Africa,65,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,186,Female,22,Black,University of South Africa,72,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,187,Female,26,Indian,University of the Witwatersrand,69,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,188,Female,24,Black,North-West University,63,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
